name,ur5_shoulder_pan_joint_rad,ur5_shoulder_lift_joint_rad,ur5_elbow_joint_rad,ur5_wrist_1_joint_rad,ur5_wrist_2_joint_rad,ur5_wrist_3_joint_rad,ur5_x_m,ur5_y_m,ur5_z_m,ur5_roll_rad,ur5_pitch_rad,ur5_yaw_rad,ur7e_shoulder_pan_joint_rad,ur7e_shoulder_lift_joint_rad,ur7e_elbow_joint_rad,ur7e_wrist_1_joint_rad,ur7e_wrist_2_joint_rad,ur7e_wrist_3_joint_rad,ur7e_x_m,ur7e_y_m,ur7e_z_m,ur7e_roll_rad,ur7e_pitch_rad,ur7e_yaw_rad
start,-0.169646,-0.373221,0.254469,-0.441080,-1.460212,0.000000,-0.336561,0.525135,1.081353,2.127875,0.058639,-0.264253,-0.169646,-0.781628,1.341460,-0.849487,-1.697717,0.000000,0.327361,0.330018,1.044244,1.858248,-0.036162,-0.048756
1,-0.169646,-0.231221,0.254469,-0.441080,-1.460212,0.000000,-0.336001,0.528385,0.972138,1.986361,0.044796,-0.271581,-0.169646,-0.723823,1.341460,-0.849487,-1.697717,0.000000,0.326880,0.327224,1.011497,1.800846,-0.029089,-0.046883
2,-0.169646,-0.374478,0.254469,-0.441080,-1.460212,0.000000,-0.336577,0.525038,1.082316,2.129128,0.058757,-0.264179,-0.169646,-0.913575,1.341460,-0.849487,-1.697717,0.000000,0.327253,0.329388,1.119227,1.989391,-0.051823,-0.054532
3,-0.464956,-0.374478,0.254469,-0.441080,-1.460212,0.000000,-0.111595,0.487581,1.082316,2.129128,0.058757,-0.559489,0.160850,-0.913575,1.341460,-0.849487,-1.697717,0.000000,0.140465,0.290651,1.119227,1.989391,-0.051823,0.275964
4,-0.464956,-0.505168,0.254469,-0.441080,-1.460212,0.000000,-0.119138,0.472574,1.181479,2.259567,0.070457,-0.551056,0.160850,-0.913575,1.226478,-0.849487,-1.697717,0.000000,0.135411,0.321961,1.156447,2.103839,-0.064753,0.269289
5,-0.464956,-0.664761,0.254469,-0.441080,-1.460212,0.000000,-0.136112,0.438804,1.298292,2.419130,0.083106,-0.538790,0.160850,-0.966354,1.226478,-0.849487,-1.697717,0.000000,0.136212,0.316995,1.187929,2.156433,-0.070415,0.265736
6,-0.693664,-0.664761,0.730106,-0.441080,-1.460212,0.000000,-0.002754,0.351678,1.122053,1.944444,0.040508,-0.797386,0.160850,-0.966354,0.434796,-0.849487,-1.697717,0.000000,0.125842,0.381232,1.509565,2.950339,-0.124630,0.184117
7,-0.740159,-1.053062,1.129717,-0.624549,-1.266690,0.000000,-0.054717,0.270984,1.221124,2.098033,0.156615,-1.002711,0.145770,-0.966354,0.434796,-0.849487,-1.697717,0.000000,0.135386,0.384540,1.509565,2.950339,-0.124630,0.169037
8,-1.256637,-1.546920,2.156389,-1.460212,-1.039239,0.000000,-0.057704,0.003304,1.088153,2.347488,0.390937,-1.627334,0.145770,-0.966354,0.434796,-0.849487,-1.697717,0.000000,0.135386,0.384540,1.509565,2.950339,-0.124630,0.169037
9,-2.343628,-1.528071,2.156389,-1.460212,-1.039239,0.000000,0.011290,-0.391995,1.081425,2.328532,0.384059,-2.721488,0.373221,-0.917345,0.220540,-0.849487,-1.697717,0.000000,-0.001265,0.317482,1.564836,3.116890,-0.126882,0.375551
10,-2.547203,-1.663787,2.156389,-1.460212,-1.039239,0.000000,-0.032610,-0.450646,1.129103,2.467411,0.430615,-2.869955,0.645911,-1.188779,1.918885,-2.886495,-1.697717,0.000000,-0.100213,0.147547,1.182452,-2.552274,-0.105686,0.574705
11,-2.547203,-1.663787,2.156389,-1.460212,-1.039239,0.000000,-0.032610,-0.450646,1.129103,2.467411,0.430615,-2.869955,0.781628,-1.450159,2.108637,-2.479345,-1.562000,0.000000,-0.084992,-0.001643,1.186993,-2.891513,0.008523,0.783009
end,-1.799504,-1.595929,0.016965,-1.731646,-0.237504,0.113097,-0.317409,-0.063381,1.917220,-1.531157,-0.051222,-0.465778,-1.663787,-1.663787,-0.016965,-1.595929,0.000000,0.000000,0.276303,-0.009140,1.988687,-1.570796,-0.135088,-0.093787
